datetime,ticker,n_contracts,side,curr_ask,ev
2024-04-22T10:00:00.745218,INX-24APR22-B4937,191.0,yes,8,1.9129410370837814
2024-04-22T10:00:00.808064,INX-24APR22-B4987,45.0,no,72,4.076175094198803
2024-04-22T10:00:00.866810,INX-24APR22-B5012,60.0,no,73,5.517752787325392
2024-04-22T10:00:00.931316,INX-24APR22-B5037,92.0,yes,12,1.3848839819925232
2024-04-22T10:02:00.743607,INX-24APR22-B4962,54.0,yes,17,1.3234469629825654
2024-04-22T10:02:01.149258,INX-24APR22-B5037,-92.0,yes,14,0
2024-04-22T10:07:00.808469,INX-24APR22-B5037,75.0,yes,13,1.3948765613046703
2024-04-22T10:11:01.195326,INX-24APR22-B5037,-75.0,yes,13,0
2024-04-22T10:15:00.859379,INX-24APR22-B5037,70.0,yes,12,1.2057712141351864
2024-04-22T10:21:01.160280,INX-24APR22-B4962,-54.0,yes,20,0
2024-04-22T10:24:00.733265,INX-24APR22-B4962,18.0,no,77,1.972955695179948
2024-04-22T10:25:00.737929,INX-24APR22-B4912,290.0,yes,4,1.6886015216592423
2024-04-22T11:12:01.653384,INX-24APR22-B5012,-60.0,no,85,0
2024-04-22T11:31:00.854192,INX-24APR22-B5012,27.0,no,79,2.9264296857392367
2024-04-22T12:00:01.715972,INX-24APR22-B4962,-18.0,no,80,0
2024-04-22T12:01:01.083277,INX-24APR22-B4962,57.0,yes,20,1.59309410558307
2024-04-22T12:02:01.178732,INX-24APR22-B4962,-57.0,yes,21,0
2024-04-22T12:04:00.762158,INX-24APR22-B4962,70.0,yes,20,1.9348145959905807
2024-04-22T13:14:00.996971,INX-24APR22-B4987,-45.0,no,70,0
2024-04-22T13:25:00.797935,INX-24APR22-B4987,98.0,yes,26,3.4432686655928215
2024-04-22T13:26:01.160797,INX-24APR22-B5037,-70.0,yes,21,0
2024-04-22T13:27:00.825675,INX-24APR22-B5037,46.0,no,77,4.892741171253817
2024-04-22T13:31:00.923226,INX-24APR22-B5062,705.0,yes,4,4.013769113808033
2024-04-22T13:52:01.088501,INX-24APR22-B5012,-27.0,no,65,0
2024-04-22T13:53:00.676803,INX-24APR22-B5012,77.0,yes,30,3.3802994132513433
2024-04-22T13:53:01.138199,INX-24APR22-B5062,-705.0,yes,16,0
2024-04-22T13:54:01.084094,INX-24APR22-B4962,-70.0,yes,1,0
2024-04-22T13:56:00.672130,INX-24APR22-B5062,218.0,yes,15,4.250960636376501
2024-04-22T13:56:01.021448,INX-24APR22-B5012,-77.0,yes,30,0
2024-04-22T14:00:01.021198,INX-24APR22-B5012,25.0,yes,31,1.044579994524483
2024-04-22T14:22:00.995386,INX-24APR22-B5062,-218.0,yes,21,0
2024-04-22T14:23:00.700057,INX-24APR22-B5062,148.0,yes,20,3.715265947733233
2024-04-22T15:12:00.855670,INX-24APR22-B5037,-46.0,no,54,0
2024-04-22T15:12:00.855744,INX-24APR22-B5012,-25.0,yes,47,0
2024-04-22T15:13:00.589740,INX-24APR22-B5012,113.0,yes,42,5.920635153388005
2024-04-22T15:13:00.645334,INX-24APR22-B5037,171.0,no,47,9.979414165727263
2024-04-22T15:19:00.836388,INX-24APR22-B5012,-113.0,yes,44,0
2024-04-22T15:19:00.836462,INX-24APR22-B5037,-171.0,no,50,0
2024-04-22T15:21:00.558537,INX-24APR22-B5012,143.0,no,42,7.430602769109001
2024-04-22T15:21:00.620507,INX-24APR22-B5037,186.0,yes,35,8.014651376397183
2024-04-22T15:21:00.975070,INX-24APR22-B4987,-98.0,yes,4,0
2024-04-22T15:22:00.546726,INX-24APR22-B4987,266.0,yes,5,1.9213718016183092
2024-04-22T15:22:01.006492,INX-24APR22-B5012,-143.0,no,46,0
2024-04-22T15:22:01.006560,INX-24APR22-B5037,-186.0,yes,41,0
2024-04-22T15:23:00.589794,INX-24APR22-B5037,27.0,yes,39,1.3251663345385012
2024-04-22T15:25:00.794458,INX-24APR22-B5062,-148.0,yes,1,0
2024-04-22T15:26:00.625959,INX-24APR22-B5012,48.0,no,36,2.1381486712768805
2024-04-22T15:28:00.909035,INX-24APR22-B5037,-27.0,yes,34,0
2024-04-22T15:28:00.909114,INX-24APR22-B5012,-48.0,no,38,0
2024-04-22T15:35:00.748829,INX-24APR22-B4987,-266.0,yes,10,0
2024-04-22T15:59:00.581901,INX-24APR22-B4912,-290.0,yes,0,0
